Accounting,USD,211.33 ,28.01.2020,Dodi Sydes
Accounting,EUR,605.27,29.04.2020,Druci Jasiak
Marketing,GBP,297.63,08.10.2020,Whitney Lever
Marketing,GBP,667.11,08.03.2020,Lorne Lakeland
Marketing,JPY,960.40,16.11.2020,Fancie Bullivent
Product Management,USD,340.43 ,07.03.2020,Kacey McLukie
Product Management,USD,913.71 ,30.08.2020,Hatty Brideaux
Services,GBP,811.00,25.01.2020,Mandel Bake
Marketing,EUR,173.11,15.10.2020,Stormy Kinningley
Marketing,GBP,863.29,20.03.2020,Vivie McGiff
Product Management,JPY,980.02,29.08.2020,Broderick Duddan
Sales,JPY,71.42,15.07.2020,Garek Girodier
Training,USD,634.75 ,23.01.2020,Vonni Emanulsson
Legal,USD,790.06 ,03.02.2020,Orrin Licciardiello
Services,USD,452.18 ,22.09.2020,Lindy Acum
Accounting,JPY,725.53,04.10.2020,Enrichetta Brockhurst
Business Development,JPY,573.91,19.02.2020,Christal Gillitt
Support,GBP,522.05,10.08.2020,Hoebart Boissieux
Training,EUR,753.52,19.09.2020,Michail Causton
Marketing,GBP,27.41,31.08.2020,Nero Danhel
Accounting,USD,845.13 ,03.10.2020,Mitchael Eveling
Legal,USD,173.53 ,31.03.2020,Rosalynd Vick
Training,JPY,790.09,25.07.2020,Reeva Harefoot
Business Development,USD,968.11 ,11.01.2020,Luise McCunn
Product Management,GBP,936.93,16.07.2020,Tracy Worsnap
Training,USD,437.95 ,10.01.2020,Michel Skilling
Services,USD,779.20 ,15.01.2020,Rubina Marcam
Human Resources,GBP,722.48,15.07.2020,Lenna Rigden
Product Management,USD,389.90 ,10.10.2020,Ingra Brockie
Support,USD,797.84 ,30.08.2020,Kippar Ridger
Accounting,JPY,519.54,20.03.2020,Andy Arlt
Services,JPY,754.80,26.01.2020,Laird Cotterell
Training,EUR,747.09,25.02.2020,Wendell Ragless
Sales,GBP,105.72,30.01.2020,Stefano Lutzmann
Research and Development,JPY,568.19,02.07.2020,Isador McArtan
Marketing,EUR,248.41,02.01.2020,Avrit Mesant
Accounting,JPY,763.74,02.07.2020,Jack Crittal
Sales,GBP,594.49,25.03.2020,Anni Norkutt
Training,GBP,130.28,16.09.2020,Kaleb Eastgate
Human Resources,JPY,226.51,01.04.2020,Ursuline Shivlin
Marketing,USD,864.89 ,17.09.2020,Bride Bernardy
Human Resources,JPY,805.43,25.09.2020,Sile Gahan
Product Management,USD,548.24 ,27.09.2020,Chrystal Balsdon
Human Resources,EUR,809.58,14.06.2020,Lowrance Woodward
Engineering,GBP,869.89,11.04.2020,Katharyn Brewis
Support,USD,243.48 ,11.07.2020,Justine Lawtey
Accounting,GBP,482.77,05.06.2020,Monah Kivits
Training,JPY,586.31,30.06.2020,Kienan Kuhwald
Engineering,GBP,848.92,19.10.2020,Darby Beckham
Services,USD,458.95 ,25.05.2020,Agnella Batrick
Support,JPY,27.56,22.04.2020,Francyne Roback
Product Management,GBP,508.47,30.03.2020,Lethia Davall
Marketing,USD,812.23 ,03.10.2020,Morgun Manoelli
Marketing,JPY,95.34,21.05.2020,Lorry Jeffress
Training,EUR,44.53,27.04.2020,Florette MacParlan
Marketing,EUR,588.69,16.07.2020,Godard Francais
Human Resources,JPY,552.91,17.07.2020,Donnajean Gillibrand
Sales,EUR,572.26,16.12.2020,Dolley Berrey
Services,GBP,394.05,01.10.2020,Ole Bewshea
Engineering,GBP,139.14,27.05.2020,Nolly Mandel
Legal,EUR,668.63,05.01.2020,Aristotle Lackney
Product Management,USD,283.03 ,02.04.2020,Donnie Quennell
Sales,GBP,107.38,19.08.2020,Rudolph Durgan
Marketing,GBP,788.70,12.02.2020,Tully Probbin
Human Resources,GBP,451.97,17.08.2020,Valentin Phorsby
Product Management,GBP,486.94,29.11.2020,Lyndy Ewin
Business Development,EUR,62.69,26.02.2020,Guenevere Heiden
Legal,USD,928.20 ,10.12.2020,Paulo Chazette
Marketing,JPY,901.88,16.04.2020,Bobbie Storrar
Research and Development,JPY,865.04,21.07.2020,Cos Bangham
Services,GBP,818.71,08.09.2020,Donnamarie Pinckney
Engineering,GBP,169.70,16.05.2020,Karylin Gotecliffe
Engineering,EUR,871.42,01.04.2020,Betsey Nelthorpe
Business Development,EUR,214.23,13.10.2020,Dollie Nurcombe
Human Resources,EUR,914.51,13.12.2020,Beverley Bence
Marketing,JPY,706.72,27.07.2020,Roanne Tripney
Product Management,JPY,820.18,17.08.2020,Meagan Boshell
Engineering,USD,603.35 ,14.11.2020,Maurice Spittles
Business Development,JPY,91.25,02.01.2020,Zachary Cornbell
Business Development,USD,929.72 ,02.09.2020,Allys Colcutt
Product Management,GBP,165.88,19.06.2020,Vivyanne Wastie
Accounting,GBP,396.81,14.03.2020,Palmer Brunetti
Marketing,GBP,55.79,08.10.2020,Desiree Coulbeck
Marketing,EUR,604.32,29.11.2020,Trixy Bettenson
Sales,JPY,692.99,26.09.2020,Wade Brute
Research and Development,GBP,154.56,29.03.2020,Allina Tuxell
Marketing,USD,493.49 ,15.12.2020,Lanie Nansom
Business Development,USD,324.86 ,10.01.2020,Lianne Flori
Product Management,USD,733.08 ,21.11.2020,Ewell Saipy
Engineering,GBP,728.14,20.01.2020,Marcia Bidewel
Support,JPY,894.89,28.07.2020,Mattie Gianiello
Business Development,GBP,359.27,26.09.2020,Xylia Woodier
Engineering,GBP,425.05,10.03.2020,Fred Mathers
Marketing,GBP,587.90,30.10.2020,Abby Cullip
Engineering,USD,671.54 ,03.02.2020,Nicolea Dorward
Training,USD,836.29 ,03.04.2020,Norbert Ethridge
Product Management,JPY,427.29,08.07.2020,Kare Cisland
Legal,GBP,490.87,09.02.2020,Brena McKevany
Marketing,EUR,225.07,07.12.2020,Welch McRavey
Services,GBP,326.54,23.12.2020,Horten Donnellan
Services,JPY,191.28,12.12.2020,Rozanna Parmby
Human Resources,USD,997.35 ,29.04.2020,Welsh Gunbie
Services,USD,967.75 ,30.06.2020,Donni Rosewell
Legal,GBP,205.97,04.10.2020,West Pettinger
Research and Development,USD,894.02 ,10.11.2020,Moses Benitez
Engineering,GBP,127.21,10.01.2020,Flossi Gorry
Services,GBP,128.91,28.10.2020,Jeromy Beresfore
Engineering,GBP,398.96,10.01.2020,Evangelina Cluely
Services,EUR,380.55,18.04.2020,Walther Segrave
Services,USD,265.63 ,05.03.2020,Cornie Bauldry
Services,EUR,493.73,28.04.2020,Brittan Coleshill
Product Management,JPY,731.91,27.11.2020,Roseline Chettoe
Research and Development,EUR,683.23,26.11.2020,Arman Longmore
Sales,GBP,882.25,28.02.2020,Marv Spoole
Marketing,EUR,37.93,30.11.2020,Howie Elam
Research and Development,GBP,301.60,08.06.2020,Masha Rizzardini
Research and Development,EUR,103.65,21.09.2020,Tabbitha Maren
Training,GBP,736.25,20.02.2020,Tanner Khidr
Marketing,GBP,50.28,07.06.2020,Elias MacGown
Legal,USD,930.91 ,07.12.2020,Eustacia Horsell
Research and Development,GBP,350.34,03.10.2020,Bartolomeo Laxton
Product Management,EUR,660.58,04.05.2020,Gayle Yorkston
Human Resources,EUR,306.99,12.09.2020,Ilysa Otley
Marketing,USD,46.77 ,16.05.2020,Terra Probart
Business Development,EUR,184.48,22.02.2020,Abigael Sprionghall
Human Resources,USD,563.45 ,26.02.2020,Ignatius Brogi
Legal,JPY,808.12,05.02.2020,Haze Pates
Human Resources,JPY,723.86,03.01.2020,Zabrina Lemmen
Training,USD,996.72 ,11.04.2020,Cariotta Meneely
Research and Development,EUR,660.18,29.06.2020,Bayard Downs
Research and Development,EUR,904.44,24.10.2020,Alisha Perfili
Marketing,GBP,687.71,22.12.2020,Lay Stannus
Engineering,USD,700.35 ,12.02.2020,Terry Purdie
Sales,GBP,495.97,24.12.2020,Gisele Gosnell
Services,EUR,548.47,10.02.2020,Mathe Kuhlmey
Engineering,GBP,378.65,15.08.2020,Doretta Benedetti
Product Management,USD,209.22 ,25.03.2020,Dode Hrinchenko
Accounting,EUR,81.39,22.01.2020,Sherilyn Mander
Services,GBP,578.42,02.08.2020,Madalyn Dykes
Human Resources,JPY,399.89,22.09.2020,Frederique Boldock
Business Development,JPY,95.06,23.08.2020,Bride Golborne
Human Resources,EUR,644.82,11.08.2020,Novelia Attoc
Marketing,USD,723.40 ,28.12.2020,Dillon Shields
Product Management,JPY,615.98,10.10.2020,Jefferey Labbe
Services,GBP,769.36,06.05.2020,Ruthi Udy
Business Development,JPY,787.33,04.12.2020,Vivienne Schimek
Legal,EUR,421.83,30.03.2020,Natka Yockney
Business Development,USD,330.43 ,17.03.2020,Jyoti Wrixon
Support,EUR,756.28,26.01.2020,Addie Boice
Marketing,GBP,162.55,11.08.2020,Annemarie Dog
Engineering,JPY,579.53,22.02.2020,Jessey McDonald
Business Development,GBP,466.37,30.05.2020,Jed Hampe
Legal,EUR,792.66,23.02.2020,Nessi Schlag
Engineering,GBP,757.10,19.01.2020,Cathlene Hune
Engineering,USD,929.52 ,17.02.2020,Tonia Surplice
Human Resources,EUR,581.29,18.03.2020,Rosemonde Patemore
Research and Development,JPY,681.02,10.04.2020,Noemi Gisburn
Legal,JPY,435.29,27.07.2020,Kacey Reef
Research and Development,EUR,677.55,05.09.2020,Derk Saywood
Research and Development,GBP,230.73,27.09.2020,Stacie Ibanez
Legal,JPY,192.48,30.10.2020,Wendell Malden
Human Resources,EUR,550.77,18.05.2020,Sigfrid Errichelli
Product Management,USD,704.96 ,02.05.2020,Annabel Bodega
Sales,GBP,443.03,27.02.2020,Laverna Grigorian
Research and Development,JPY,657.89,05.04.2020,Wynny Sarfatti
Engineering,GBP,962.20,14.02.2020,Roxane Di Giacomettino
Training,GBP,192.22,16.02.2020,Odell Edmondson
Human Resources,GBP,955.71,29.09.2020,Gretta Bridgnell
Training,USD,642.84 ,23.12.2020,Antin McGrae
Sales,USD,429.01 ,26.02.2020,Carlita Franzewitch
Services,USD,212.13 ,27.12.2020,Lanny Houlworth
Training,USD,303.34 ,02.12.2020,Bran Maghull
Sales,USD,10.18 ,10.10.2020,Ephrem Besnard
Human Resources,USD,306.50 ,25.04.2020,Anthe Newland
Product Management,GBP,202.74,07.01.2020,Lynn Hazard
Services,USD,349.06 ,28.11.2020,Nert Wistance
Marketing,GBP,986.09,21.08.2020,Nilson Tillett
Human Resources,USD,479.36 ,13.04.2020,Shirl Rikard
Business Development,EUR,849.07,18.10.2020,Gunilla Josefs
Human Resources,GBP,691.39,31.01.2020,Kirbee Spraging
Training,GBP,124.36,20.05.2020,Megan Johnikin
Business Development,JPY,963.18,08.03.2020,Peder Earle
Support,USD,233.43 ,30.07.2020,Forest Beckensall
Engineering,JPY,272.94,10.06.2020,Mortimer Winson
Accounting,GBP,412.56,05.07.2020,Tammy Joanaud
Accounting,USD,456.31 ,16.10.2020,Celesta Sedgmond
Training,USD,220.08 ,07.04.2020,Flory Mosedill
Human Resources,GBP,37.64,20.03.2020,Hester Toller
Accounting,JPY,15.74,11.08.2020,Feodora Wooffitt
Sales,GBP,580.66,22.04.2020,Mikel Couche
Engineering,EUR,935.18,19.09.2020,Zorana Asmus
Research and Development,EUR,773.79,19.10.2020,Carmen Blewett
Research and Development,GBP,410.07,25.11.2020,Hope Sherbourne
Support,GBP,926.06,23.06.2020,Uriah O'Shaughnessy
Product Management,JPY,544.95,13.11.2020,Angela Maunton
Services,GBP,166.02,04.09.2020,Donni Searston
Business Development,USD,810.05 ,29.07.2020,Erina Pollie
Accounting,EUR,873.28,28.09.2020,Ferguson Blaksland
Business Development,GBP,93.81,26.06.2020,Franzen Kenney
Marketing,JPY,232.77,16.07.2020,Frederich Burford
Legal,USD,386.31 ,19.08.2020,Olive Abrahmer
Human Resources,JPY,538.98,07.06.2020,Cullie Danilenko
Legal,GBP,928.46,25.09.2020,Derrick Lampard
Accounting,JPY,78.36,12.01.2020,Karleen Bumford
Human Resources,USD,189.56 ,03.04.2020,Bram Skirven
Engineering,GBP,240.76,14.01.2020,Suzie Gammons
Services,JPY,874.54,21.09.2020,Winslow Racine
Business Development,EUR,34.76,15.02.2020,Lydia Chittie
Accounting,USD,76.18 ,28.06.2020,Theo Casella
Services,GBP,847.64,14.12.2020,Lauree Herety
Accounting,EUR,590.83,05.09.2020,Domingo Brennen
Engineering,EUR,593.67,27.04.2020,Ezra Grim
Human Resources,USD,723.53 ,26.09.2020,Aime Flather
Engineering,JPY,323.73,28.04.2020,Sauncho Buxcey
Sales,USD,935.97 ,21.02.2020,Jackson Creyke
Product Management,JPY,614.74,08.03.2020,Tirrell Boyles
Research and Development,EUR,429.62,09.10.2020,Onofredo Yesenev
Engineering,JPY,564.13,10.11.2020,Ollie Askham
Accounting,GBP,154.62,12.08.2020,Jaine Eusden
Training,GBP,637.18,18.02.2020,Keri Owbridge
Engineering,JPY,10.02,22.05.2020,Beatrisa Fourcade
Training,JPY,474.92,09.05.2020,Hubert Lissimore
Engineering,USD,499.69 ,13.10.2020,Margarete Korous
Accounting,GBP,490.34,03.09.2020,Celisse Chaim
Services,EUR,864.69,04.04.2020,Shelby Wingar
Research and Development,GBP,598.79,03.10.2020,Ethelbert Varndell
Engineering,GBP,342.11,21.08.2020,Martelle Cazalet
Sales,JPY,559.29,18.07.2020,Roslyn Wallicker
Accounting,GBP,751.13,25.05.2020,Taffy Feather
Accounting,GBP,479.94,27.10.2020,Howie Watkiss
Marketing,GBP,54.52,17.10.2020,Judon Churly
Accounting,EUR,313.25,26.12.2020,Ezmeralda MacGorley
Services,GBP,307.40,10.02.2020,Eustace Culbert
Legal,JPY,643.02,18.08.2020,Tracie Boij
Product Management,USD,399.14 ,20.08.2020,Fanchon Puden
Accounting,JPY,729.90,11.11.2020,Arlin Pepon
Services,JPY,127.30,17.05.2020,Heddie Sarl
Product Management,GBP,678.44,21.07.2020,Christin Unitt
Services,GBP,841.32,27.11.2020,Hannis McGuiness
Engineering,USD,850.32 ,12.10.2020,Hewett Pickburn
Research and Development,GBP,957.79,02.08.2020,Pietra Gilfoyle
Services,JPY,78.87,08.01.2020,Ki Burchard
Services,JPY,340.49,04.07.2020,Ky Eymor
Engineering,GBP,560.87,22.04.2020,Florri Cutbirth
Sales,GBP,323.13,07.01.2020,Giselle Simnor
Marketing,JPY,364.42,29.12.2020,Eba Hapgood
Business Development,JPY,953.91,28.02.2020,Hugo Joubert
Accounting,GBP,293.48,20.02.2020,Minnaminnie Marrion
Training,USD,669.01 ,07.07.2020,Madeline Chevers
Product Management,JPY,820.15,26.04.2020,Elna Hargreave
Human Resources,JPY,138.57,11.09.2020,Janeva Antic
Marketing,JPY,188.90,04.09.2020,Alane Lambdin
Product Management,USD,168.50 ,12.12.2020,Jodie Lorie
Training,JPY,607.54,11.03.2020,Winfield Kehri
Sales,JPY,530.35,26.10.2020,Margarette Howorth
Support,GBP,948.21,17.04.2020,Patience Goodright
Support,EUR,615.57,11.10.2020,Cissiee Eldon
Legal,GBP,27.98,01.09.2020,Linea McInteer
Marketing,GBP,859.81,23.04.2020,Linnie Schlag
Training,USD,816.85 ,20.03.2020,Hermie McKinty
Accounting,GBP,622.30,29.08.2020,Nanete Ricoald
Product Management,EUR,783.04,07.05.2020,Abbey Bampforth
Product Management,GBP,797.28,22.01.2020,Minerva McKnish
Legal,USD,334.77 ,30.11.2020,Lila Symonds
Accounting,USD,311.54 ,19.05.2020,Armand Adshed
Support,USD,735.30 ,06.05.2020,Alfons Zolini
Product Management,GBP,370.12,17.11.2020,Arabel Way
Legal,EUR,795.59,14.09.2020,Jillane Caisley
Engineering,EUR,523.49,03.02.2020,Edvard Daspar
Sales,JPY,166.52,26.10.2020,Caryn Bear
Sales,USD,44.22 ,17.12.2020,Maggi Nicely
Marketing,JPY,742.76,23.08.2020,Johnna Braden
Marketing,EUR,214.03,13.08.2020,Kial Elderkin
Marketing,EUR,240.79,03.09.2020,Chalmers Clara
Human Resources,USD,240.53 ,29.12.2020,Melisse Pengilly
Accounting,EUR,437.91,17.12.2020,Lucina Spicer
Services,USD,305.70 ,05.08.2020,Killie Garrett
Support,EUR,522.11,19.09.2020,Marigold Rannald
Training,GBP,239.72,06.10.2020,Ivy Avrahamoff
Support,JPY,929.32,26.05.2020,Christiana Issitt
Marketing,EUR,997.49,15.09.2020,Caria Osan
Accounting,GBP,641.99,25.06.2020,Manny Kyneton
Engineering,GBP,618.28,03.04.2020,Carolynn Samet
Research and Development,GBP,344.34,07.08.2020,Lani Darkott
Engineering,GBP,923.61,06.06.2020,Gavin Labon
Business Development,JPY,689.19,25.02.2020,Flossy Wordley
Training,EUR,891.00,25.10.2020,Bertie Woodham
Sales,EUR,844.34,06.12.2020,Thor Varney
Services,JPY,783.05,03.10.2020,Urbain Blodgetts
Support,JPY,463.56,09.11.2020,Theobald Bartels
Services,JPY,218.12,04.02.2020,Chrysler Harcarse
Business Development,GBP,912.43,02.11.2020,Mareah Vernham
Accounting,JPY,358.06,13.05.2020,Rita Corkel
Marketing,EUR,630.13,09.02.2020,Georgena Lacroux
Product Management,USD,399.89 ,24.07.2020,Hector MacKaig
Business Development,GBP,495.10,10.08.2020,Evered Outerbridge
Services,GBP,459.24,16.05.2020,Yancey Spriggin
Engineering,JPY,951.94,17.10.2020,Curran Gerant
Sales,JPY,764.68,12.08.2020,Cord O'Rodane
Research and Development,USD,202.99 ,17.02.2020,Shelby Elvy
Services,EUR,92.95,24.11.2020,Vaclav Stanger
Accounting,EUR,411.39,23.07.2020,Sapphire Crimpe
Legal,USD,621.54 ,11.12.2020,Analiese Farries
Support,JPY,923.12,26.05.2020,Annamaria Sawtell
Support,JPY,183.08,29.12.2020,Jemima Pickerell
Legal,EUR,709.33,07.06.2020,Carey MacCoughan
Human Resources,EUR,423.91,03.02.2020,Liuka Mathet
Support,USD,882.58 ,15.03.2020,Roch Allicock
Research and Development,USD,234.79 ,30.09.2020,Marris Gaiger
Sales,JPY,479.63,16.10.2020,Kimball Regglar
Engineering,EUR,812.85,17.04.2020,Tonnie Oldroyde
Research and Development,EUR,283.11,05.11.2020,Chiarra Beminster
Human Resources,GBP,725.18,30.03.2020,Elias Kristufek
Product Management,EUR,185.91,10.07.2020,Sammy Gemmell
Sales,EUR,545.70,12.10.2020,Jackelyn Peggrem
Accounting,GBP,426.86,25.07.2020,Paquito Calltone
Services,USD,249.09 ,19.11.2020,Atlanta Dearlove
Human Resources,JPY,217.92,25.11.2020,Roxy Van den Velden
Legal,GBP,12.47,16.03.2020,Aviva MacKaig
Marketing,JPY,133.62,27.10.2020,Filmer Pilgrim
Business Development,GBP,118.98,12.02.2020,Lexy Martinyuk
Human Resources,JPY,686.24,29.05.2020,Heywood O' Gara
Training,EUR,227.79,17.06.2020,Buddy De Winton
Research and Development,JPY,406.03,22.11.2020,Blondy Cricket
Product Management,EUR,869.03,07.05.2020,Willow Gunthorpe
Services,USD,167.03 ,24.12.2020,L;urette Wyldes
Legal,USD,31.27 ,06.04.2020,Donica Choulerton
Research and Development,JPY,220.72,23.03.2020,Cassy Hember
Research and Development,JPY,597.90,02.12.2020,Karol Huerta
Research and Development,GBP,330.45,06.07.2020,Madeline Conniam
Accounting,EUR,751.92,19.02.2020,Briana Dorbon
Legal,EUR,571.41,22.05.2020,Cindy Eagleton
Engineering,JPY,785.88,25.12.2020,Kirstin Peegrem
Engineering,EUR,99.63,17.01.2020,Franny Danter
Services,EUR,27.70,05.03.2020,Mordecai Prue
Training,EUR,987.53,09.04.2020,Sherm Huckel
Accounting,EUR,458.57,23.08.2020,Fairleigh Moston
Sales,EUR,538.23,27.05.2020,Lorita Soule
Services,GBP,459.59,13.04.2020,Tessie Skinner
Support,USD,561.05 ,04.07.2020,Ode Torbett
Training,GBP,860.30,28.03.2020,Osmond Layson
Sales,JPY,576.10,05.09.2020,Mitchel Maro
Accounting,GBP,532.77,25.07.2020,Augie Davern
Services,GBP,527.00,17.04.2020,Granthem Kinset
Product Management,JPY,381.39,04.11.2020,Cheston Nenci
Research and Development,JPY,325.84,29.09.2020,Kissie Ciottoi
Sales,USD,591.17 ,31.05.2020,Charmane Bergen
Legal,JPY,504.55,24.01.2020,Ethan Piens
Sales,EUR,536.60,23.04.2020,Olenolin Sinson
Marketing,USD,62.60 ,12.04.2020,Mikel Gobert
Training,JPY,26.98,01.05.2020,Bettine Ravenhills
Product Management,JPY,24.24,18.07.2020,Vernon Christofor
Research and Development,EUR,729.71,10.04.2020,Jolee Josefs
Engineering,EUR,110.19,13.05.2020,Nicholle Outlaw
Research and Development,EUR,446.25,18.12.2020,Carmon Innocent
Engineering,EUR,381.05,05.09.2020,Wylie Geggus
Support,JPY,607.16,08.02.2020,Joya Danko
Legal,GBP,645.49,25.06.2020,Skip Blakey
Support,USD,695.82 ,30.04.2020,Mal Cooney
Sales,JPY,246.04,10.06.2020,Karie Curgenven
Human Resources,GBP,662.21,19.04.2020,Katleen Mesant
Marketing,JPY,575.88,26.06.2020,Aggy Marfell
Training,GBP,743.57,26.08.2020,Yorgo Bolle
Research and Development,JPY,955.12,23.09.2020,Laurence Moir
Services,JPY,506.19,09.07.2020,Bridie Selbach
Legal,GBP,831.28,24.08.2020,Jillayne Moxom
Legal,JPY,126.66,06.05.2020,Aurora Matei
Marketing,USD,381.74 ,23.08.2020,Bessy Curro
Research and Development,USD,814.53 ,13.05.2020,Damien McKain
Business Development,JPY,993.22,29.06.2020,Kyrstin Scholfield
Services,JPY,27.39,14.10.2020,Vernen De Mars
Research and Development,GBP,78.12,14.01.2020,Jamie Cabrer
Support,GBP,972.49,19.07.2020,Eugen Norcock
Support,EUR,472.85,23.10.2020,Henriette Postgate
Training,EUR,381.43,26.07.2020,Willi Burnitt
Engineering,EUR,235.94,24.11.2020,Evered Conisbee
Product Management,USD,976.36 ,18.05.2020,Regine Holligan
Human Resources,USD,127.76 ,03.05.2020,Robinia Golling
Training,JPY,91.60,05.06.2020,Nettle Rossiter
Sales,GBP,850.19,13.10.2020,Latia Berardt
Human Resources,GBP,912.66,05.10.2020,Tam Regnard
Support,EUR,182.80,05.09.2020,Hildegarde Gotthard.sf
Sales,GBP,339.58,18.01.2020,Isidore Spearing
Engineering,EUR,827.44,14.06.2020,Chester Vasser
Marketing,EUR,823.34,16.10.2020,Shamus McIlenna
Human Resources,USD,432.87 ,06.06.2020,Devland Fairman
Training,USD,197.57 ,27.12.2020,Bevon Vowdon
Training,GBP,647.32,26.09.2020,Maggee Honisch
Product Management,JPY,889.99,09.03.2020,Hewet Helin
Marketing,EUR,855.12,26.08.2020,Ali Campling
Engineering,GBP,787.30,23.10.2020,Lowe Yurevich
Accounting,GBP,535.75,19.09.2020,Rosemary Luce
Research and Development,JPY,568.75,02.09.2020,Shelby McFarlane
Engineering,USD,298.65 ,19.04.2020,Faunie Inkster
Engineering,EUR,345.54,30.04.2020,Siward Chadwick
Support,GBP,880.85,24.12.2020,Glenda Bowmaker
Training,USD,283.17 ,17.12.2020,Rafaello Sille
Marketing,JPY,955.68,21.10.2020,Noemi Dundredge
Support,JPY,806.38,06.01.2020,Aylmer Dawkins
Support,JPY,521.11,31.03.2020,Clint Chelnam
